state_id,Thefts Last Week,Thefts Last 30 Days,Thefts Previous 30 Days,Theft Last Six Months,Robbery Last Week,Robbery Last 30 Days,Robbery Last Six Months,Burglary Last Week,Burglary Last 30 Days,Burglary Previous 30 Days,Burglary Last Six Months,Vandalism Last Week,Vandalism Last 30 Days,Vandalism Previous 30 Days,Vandalism Last Six Months,Shooting Last Week,Shooting Last 30 Days,Shooting Previous 30 Days,Shooting Last Six Months,Arson Last Week,Arson Last 30 Days,Arson Previous 30 Days,Arson Last Six Months,Arrest Last Week,Arrest Last 30 Days,Arrest Previous 30 Days,Arrest Last Six Months,Assault Last Week,Assault Last 30 Days,Assault Previous 30 Days,Assault Last Six Months,Other Last Week,Other Last 30 Days,Other Previous 30 Days,Other Last Six Months
AR,0,5,8,30,0,0,0,0,0,2,8,19,1,2,4,12,2,5,4,20,0,0,0,0,0,2,4,29,2,6,8,26,20,119,146,880
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
AR
AR,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,15,55,56,341,1,1,1,6,11,41,49,227,5,21,22,100,1,11,14,80,0,0,0,0,9,52,50,259,14,63,77,385,102,527,499,2867
AR,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CA,10,47,35,309,0,3,1,14,0,4,6,57,5,17,14,111,0,6,6,47,0,1,1,8,6,23,26,113,7,27,42,261,52,288,159,1396
CA,0,3,0,6,0,0,0,0,0,2,0,3,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,5,2,2,2,15
CA,4,34,21,136,1,1,1,2,0,6,5,51,0,3,5,25,0,0,0,0,0,0,0,0,0,6,13,49,0,4,8,35,1,2,5,24
CA,70,472,541,2899,9,17,9,65,2,25,44,197,7,50,43,293,0,0,0,0,1,2,1,11,6,42,62,234,17,82,96,465,168,869,893,3821
CA,6,24,30,145,1,2,1,7,0,7,9,73,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,1,0,1,2,16,0,4,5,46
CA,11,45,50,318,1,4,1,11,1,9,2,47,9,20,14,86,0,3,0,10,1,1,1,9,2,10,15,83,3,20,12,109,61,190,212,1213
