Name,City,State,Zip,County,IsPrivate,Level,LowGrade,HighGrade,RankStars,PupilTeacherRatio
Ball's Bluff Elementary,Leesburg,VA,20176,Loudoun County,False,Elementary,PK,5,3,12.4
Lovettsville Elementary,Lovettsville,VA,20180,Loudoun County,False,Elementary,PK,5,3,13.2
Brentsville District High,Nokesville,VA,20181,Prince William County,False,High,9,12,2,14.0
C.M. Bradley Elementary,Warrenton,VA,20186,Fauquier County,False,Elementary,PK,5,3,12.5
Auburn Middle,Warrenton,VA,20187,Fauquier County,False,Middle,6,8,3,12.9
Children's House Montessori School Of Reston,Reston,VA,20190,Fairfax County,True,Private,PK,K,n/a,1.8
Academy Of Christian Education,Reston,VA,20191,Fairfax County,True,Private,PK,8,n/a,9.8
Aldrin Elementary,Reston,VA,20194,Fairfax County,False,Elementary,PK,6,4,11.1
Waterford Elementary,Waterford,VA,20197,Loudoun County,False,Elementary,PK,5,4,13.5
Marshall Middle,Marshall,VA,20198,Fauquier County,False,Middle,6,8,3,10.0
Annandale High,Annandale,VA,22003,Fairfax County,False,High,9,12,1,15.2
Burke School,Burke,VA,22015,Fairfax County,False,,,,n/a,0.0
A. Henderson Elementary,Dumfries,VA,22025,Prince William County,False,Elementary,PK,5,4,18.8
Alternative Paths Training School - Alexandria,Alexandria,VA,22026,Fairfax County,True,Private,1,12,n/a,4.8
Holly Brook Montessori School,Dunn Loring,VA,22027,Fairfax County,True,Private,PK,K,n/a,5.3
Daniels Run Elementary,Fairfax,VA,22030,Fairfax city,False,Elementary,PK,6,2,15.0
Appletree School,Fairfax,VA,22031,Fairfax County,True,Private,PK,6,n/a,7.3
Bonnie Brae Elementary,Fairfax,VA,22032,Fairfax County,False,Elementary,PK,6,3,15.5
Greenbriar East Elementary,Fairfax,VA,22033,Fairfax County,False,Elementary,PK,6,3,15.2
Fairfax Baptist Temple Academy,Fairfax Station,VA,22039,Fairfax County,True,Private,PK,12,n/a,16.2
Bailey's Elementary School for the Arts and Sciences,Falls Church,VA,22041,Fairfax County,False,Elementary,PK,2,n/a,13.1
